Baumart;LateinischerName;Kürzel;Alter;Baumhöhe;BHD;Kronenbreite;Kronenansatzhöhe;AGB;Kohlenstoffgehalt;image;
Bergahorn;Acer pseudoplatanus L.;Ac ps;1;0.06;0.6;1.16;0.03;0.02;0.01;Bergahorn-1.png;
Bergahorn;Acer pseudoplatanus L.;Ac ps;2;0.28;1.65;1.98;0.16;0.22;0.11;Bergahorn-1.png;
Bergahorn;Acer pseudoplatanus L.;Ac ps;3;0.89;2.69;2.56;0.53;0.76;0.37;Bergahorn-2.png;
Bergahorn;Acer pseudoplatanus L.;Ac ps;4;1.48;3.72;3.04;0.55;1.73;0.85;Bergahorn-2.png;
Bergahorn;Acer pseudoplatanus L.;Ac ps;5;2.06;4.74;3.46;0.58;3.18;1.56;Bergahorn-3.png;
Bergahorn;Acer pseudoplatanus L.;Ac ps;6;2.63;5.75;3.83;0.6;5.18;2.53;Bergahorn-3.png;
Bergahorn;Acer pseudoplatanus L.;Ac ps;7;3.18;6.75;4.17;0.63;7.76;3.8;Bergahorn-4.png;
Bergahorn;Acer pseudoplatanus L.;Ac ps;8;3.72;7.74;4.48;0.65;10.96;5.36;Bergahorn-4.png;
Bergahorn;Acer pseudoplatanus L.;Ac ps;9;4.26;8.72;4.77;0.67;14.8;7.25;Bergahorn-2.png;
Bergahorn;Acer pseudoplatanus L.;Ac ps;10;4.77;9.69;5.05;0.7;19.32;9.46;Bergahorn-2.png;
Bergahorn;Acer pseudoplatanus L.;Ac ps;15;7.5;14.3;6.2;0.81;51.44;25.18;Bergahorn-2.png;
Bergahorn;Acer pseudoplatanus L.;Ac ps;20;9.64;18.7;7.14;0.92;101.09;49.49;default-tree.png;
Bergahorn;Acer pseudoplatanus L.;Ac ps;25;11.47;23.0;7.97;1.02;170.27;83.35;default-tree.png;
Bergahorn;Acer pseudoplatanus L.;Ac ps;30;13.04;27.2;8.7;1.12;259.79;127.17;default-tree.png;
Bergahorn;Acer pseudoplatanus L.;Ac ps;35;14.43;31.1;9.34;1.22;364.08;178.22;default-tree.png;
Bergahorn;Acer pseudoplatanus L.;Ac ps;40;15.62;34.8;9.91;1.3;483.25;236.55;default-tree.png;
Bergahorn;Acer pseudoplatanus L.;Ac ps;45;16.63;38.1;10.4;1.38;607.13;297.19;default-tree.png;
Bergahorn;Acer pseudoplatanus L.;Ac ps;50;17.58;41.1;10.83;1.46;734.84;359.7;default-tree.png;
Bergahorn;Acer pseudoplatanus L.;Ac ps;55;18.4;43.9;11.21;1.52;867.54;424.66;default-tree.png;
Bergahorn;Acer pseudoplatanus L.;Ac ps;60;19.09;46.3;11.53;1.58;992.02;485.59;default-tree.png;
Bergahorn;Acer pseudoplatanus L.;Ac ps;65;19.72;48.6;11.83;1.64;1120.87;548.67;default-tree.png;
Bergahorn;Acer pseudoplatanus L.;Ac ps;70;20.29;50.6;12.08;1.69;1240.71;607.33;default-tree.png;
Bergahorn;Acer pseudoplatanus L.;Ac ps;75;20.85;52.4;12.31;1.73;1354.91;663.23;default-tree.png;
Bergahorn;Acer pseudoplatanus L.;Ac ps;80;21.29;54.1;12.52;1.77;1468.38;718.77;default-tree.png;
Bergahorn;Acer pseudoplatanus L.;Ac ps;85;21.67;55.5;12.69;1.81;1565.98;766.55;default-tree.png;
Bergahorn;Acer pseudoplatanus L.;Ac ps;90;22.05;56.9;12.86;1.84;1667.4;816.19;default-tree.png;
Bergahorn;Acer pseudoplatanus L.;Ac ps;95;22.37;58.1;13.0;1.87;1757.4;860.25;default-tree.png;
Bergahorn;Acer pseudoplatanus L.;Ac ps;100;22.68;59.1;13.12;1.89;1834.59;898.03;default-tree.png;
Schwarzerle;Alnus glutinosa (L.) Gaertn.;Al gl;1;0.13;2.4;1.5;0.09;1.13;0.59;default-tree.png;
Schwarzerle;Alnus glutinosa (L.) Gaertn.;Al gl;2;0.32;2.91;1.7;0.16;1.76;0.91;default-tree.png;
Schwarzerle;Alnus glutinosa (L.) Gaertn.;Al gl;3;0.92;3.42;1.89;0.5;2.54;1.32;default-tree.png;
Schwarzerle;Alnus glutinosa (L.) Gaertn.;Al gl;4;1.5;3.93;2.07;0.88;3.48;1.81;default-tree.png;
Schwarzerle;Alnus glutinosa (L.) Gaertn.;Al gl;5;2.06;4.44;2.24;1.01;4.59;2.39;default-tree.png;
Schwarzerle;Alnus glutinosa (L.) Gaertn.;Al gl;6;2.61;4.94;2.4;1.11;5.87;3.05;default-tree.png;
Schwarzerle;Alnus glutinosa (L.) Gaertn.;Al gl;7;3.14;5.44;2.56;1.2;7.32;3.8;default-tree.png;
Schwarzerle;Alnus glutinosa (L.) Gaertn.;Al gl;8;3.66;5.94;2.71;1.28;8.94;4.65;default-tree.png;
Schwarzerle;Alnus glutinosa (L.) Gaertn.;Al gl;9;4.16;6.44;2.85;1.34;10.74;5.59;default-tree.png;
Schwarzerle;Alnus glutinosa (L.) Gaertn.;Al gl;10;4.65;6.93;2.99;1.4;12.73;6.62;default-tree.png;
Schwarzerle;Alnus glutinosa (L.) Gaertn.;Al gl;15;6.86;9.38;3.64;1.64;25.39;13.2;default-tree.png;
Schwarzerle;Alnus glutinosa (L.) Gaertn.;Al gl;20;9.51;11.77;4.23;1.8;42.71;22.21;default-tree.png;
Schwarzerle;Alnus glutinosa (L.) Gaertn.;Al gl;25;10.9;14.12;4.76;1.93;64.69;33.64;default-tree.png;
Schwarzerle;Alnus glutinosa (L.) Gaertn.;Al gl;30;11.66;16.41;5.25;2.03;91.28;47.46;default-tree.png;
Schwarzerle;Alnus glutinosa (L.) Gaertn.;Al gl;35;12.41;18.66;5.7;2.12;122.36;63.63;default-tree.png;
Schwarzerle;Alnus glutinosa (L.) Gaertn.;Al gl;40;13.1;20.85;6.13;2.2;157.78;82.05;default-tree.png;
Schwarzerle;Alnus glutinosa (L.) Gaertn.;Al gl;45;13.8;23.0;6.53;2.26;197.36;102.62;default-tree.png;
Schwarzerle;Alnus glutinosa (L.) Gaertn.;Al gl;50;14.43;25.1;6.92;2.32;240.88;125.26;default-tree.png;
Schwarzerle;Alnus glutinosa (L.) Gaertn.;Al gl;55;14.99;27.14;7.28;2.38;288.12;149.82;default-tree.png;
Schwarzerle;Alnus glutinosa (L.) Gaertn.;Al gl;60;15.56;29.14;7.62;2.43;338.84;176.19;default-tree.png;
Schwarzerle;Alnus glutinosa (L.) Gaertn.;Al gl;65;16.07;31.08;7.95;2.47;392.78;204.24;default-tree.png;
Schwarzerle;Alnus glutinosa (L.) Gaertn.;Al gl;70;16.57;32.98;8.26;2.52;449.68;233.83;default-tree.png;
Schwarzerle;Alnus glutinosa (L.) Gaertn.;Al gl;75;17.01;34.82;8.56;2.56;509.27;264.82;default-tree.png;
Schwarzerle;Alnus glutinosa (L.) Gaertn.;Al gl;80;17.45;36.62;8.84;2.59;571.29;297.07;default-tree.png;
Schwarzerle;Alnus glutinosa (L.) Gaertn.;Al gl;85;17.83;38.36;9.12;2.63;635.44;330.43;default-tree.png;
Schwarzerle;Alnus glutinosa (L.) Gaertn.;Al gl;90;18.14;40.06;9.38;2.66;701.45;364.76;default-tree.png;
Schwarzerle;Alnus glutinosa (L.) Gaertn.;Al gl;95;18.4;41.7;9.62;2.69;769.05;399.91;default-tree.png;
Schwarzerle;Alnus glutinosa (L.) Gaertn.;Al gl;100;18.59;43.3;9.86;2.72;837.95;435.74;default-tree.png;
Hängebirke;Betula pendula Roth;Be pe;1;0.04;1.99;1.83;0.02;0.73;0.38;default-tree.png;
Hängebirke;Betula pendula Roth;Be pe;2;0.46;2.36;1.91;0.29;1.2;0.59;default-tree.png;
Hängebirke;Betula pendula Roth;Be pe;3;0.87;2.73;1.99;0.51;1.67;0.82;default-tree.png;
Hängebirke;Betula pendula Roth;Be pe;4;1.27;3.1;2.07;0.67;2.24;1.1;default-tree.png;
Hängebirke;Betula pendula Roth;Be pe;5;1.66;3.47;2.16;0.79;2.9;1.42;default-tree.png;
Hängebirke;Betula pendula Roth;Be pe;6;2.05;3.84;2.24;0.89;3.66;1.79;default-tree.png;
Hängebirke;Betula pendula Roth;Be pe;7;2.43;4.22;2.32;0.98;4.51;2.21;default-tree.png;
Hängebirke;Betula pendula Roth;Be pe;8;2.81;4.59;2.4;1.05;5.48;2.68;default-tree.png;
Hängebirke;Betula pendula Roth;Be pe;9;3.17;4.96;2.48;1.12;6.54;3.21;default-tree.png;
Hängebirke;Betula pendula Roth;Be pe;10;3.53;5.33;2.57;1.18;7.72;3.78;default-tree.png;
Hängebirke;Betula pendula Roth;Be pe;15;5.23;7.19;2.97;1.4;15.29;7.49;default-tree.png;
